,EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours
0,1,F,Burnaby,Baker,Bakery,Burnaby,Stores,32.0,6.02,36.58
1,2,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40.0,5.53,30.17
2,3,M,Richmond,Baker,Bakery,Richmond,Stores,49.0,4.39,83.81
3,4,F,Victoria,Baker,Bakery,Victoria,Stores,45.0,3.08,70.02
4,5,M,New Westminster,Baker,Bakery,New Westminster,Stores,36.0,3.62,0.0
5,6,M,Richmond,Baker,Bakery,Richmond,Stores,48.0,2.72,81.83
6,7,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,51.0,10.16,60.5
7,8,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36.0,4.43,30.07
8,9,M,New Westminster,Baker,Bakery,New Westminster,Stores,58.0,6.94,181.63
9,10,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40.0,13.85,30.66
10,11,M,New Westminster,Baker,Bakery,New Westminster,Stores,47.0,4.87,28.02
11,12,M,Kamloops,Baker,Bakery,Kamloops,Stores,15.0,3.79,0.0
12,13,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,38.0,3.62,0.0
13,14,F,Vananda,Baker,Bakery,Nanaimo,Stores,31.0,4.58,34.33
14,15,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.0,4.88,0.0
15,16,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43.0,19.11,21.66
16,17,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.0,9.94,0.0
17,18,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,42.0,2.56,55.1
18,19,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.0,5.3,81.6
19,20,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,37.0,11.23,94.67
20,21,M,Burnaby,Baker,Bakery,Burnaby,Stores,58.0,3.3,108.38
21,22,F,New Westminster,Baker,Bakery,New Westminster,Stores,24.0,3.15,0.0
22,23,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.0,6.53,67.74
23,24,F,Victoria,Baker,Bakery,Victoria,Stores,61.0,4.47,158.7
24,25,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,36.0,4.63,0.0
25,26,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,36.0,3.1,48.02
26,27,M,Kelowna,Baker,Bakery,Kelowna,Stores,42.0,4.56,42.79
27,28,M,Trail,Baker,Bakery,Trail,Stores,35.0,5.17,34.52
28,29,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40.0,12.19,59.88
29,30,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,50.0,4.31,100.67
30,31,M,Penticton,Baker,Bakery,Kelowna,Stores,38.0,3.49,9.52
31,32,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43.0,19.01,38.88
32,33,M,Duncan,Baker,Bakery,Quesnel,Stores,50.0,5.78,129.84
33,34,M,Kelowna,Baker,Bakery,Kelowna,Stores,77.0,3.2,44.27
34,35,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,24.0,2.99,0.0
35,36,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.0,18.2,0.0
36,37,F,Courtenay,Baker,Bakery,Nanaimo,Stores,52.0,4.64,75.26
37,38,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40.0,6.19,58.97
38,39,M,Kelowna,Baker,Bakery,Kelowna,Stores,52.0,4.29,134.67
39,40,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20.0,4.48,0.0
40,41,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,45.0,4.86,78.34
41,42,M,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67.0,2.18,169.0
42,43,F,Burnaby,Baker,Bakery,Burnaby,Stores,41.0,2.02,56.22
43,44,M,Surrey,Baker,Bakery,Surrey,Stores,62.0,5.47,152.65
44,45,F,Victoria,Baker,Bakery,Victoria,Stores,28.0,5.78,0.0
45,46,F,Surrey,Baker,Bakery,Surrey,Stores,50.0,5.36,80.24
46,47,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.0,1.0,78.75
47,48,M,Squamish,Baker,Bakery,Squamish,Stores,34.0,5.65,0.0
48,49,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,52.0,3.99,88.91
49,50,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39.0,20.68,21.39
