EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Age,LengthService,AbsentHours,State,Counties,Latitude,Longitude
2,M,Courtenay,Baker,Bakery,Nanaimo,40.32090167,5.532444578,30.16507231,ND,Stutsman,47.224,-98.569
3,M,Richmond,Baker,Bakery,Richmond,48.82204661,4.389973118,83.80779766,VA,Richmond (city),37.546,-77.453
4,F,Victoria,Baker,Bakery,Victoria,44.59935722,3.081735738,70.02016505,TX,Victoria,28.799,-97.006
6,M,Richmond,Baker,Bakery,Richmond,48.44031059,2.717692452,81.83007916,VA,Richmond (city),37.546,-77.453
7,M,Vancouver,Accounting Clerk,Accounting,Vancouver,50.75273,10.157918,60.49507152,WA,Clark,45.63,-122.677
10,M,Vancouver,Accounting Clerk,Accounting,Vancouver,39.85398,13.848321,30.66440832,WA,Clark,45.63,-122.677
15,M,Vancouver,Accounting Clerk,Accounting,Vancouver,49.92338,4.883225,0,WA,Clark,45.63,-122.677
16,M,Vancouver,Accounting Clerk,Accounting,Vancouver,42.79789,19.107198,21.65982312,WA,Clark,45.63,-122.677
17,F,Vancouver,Accounting Clerk,Accounting,Vancouver,48.6213,9.940272,0,WA,Clark,45.63,-122.677
20,F,Vancouver,Accounting Clerk,Accounting,Vancouver,36.91041,11.22628,94.66856131,WA,Clark,45.63,-122.677
23,F,Vancouver,Accounting Clerk,Accounting,Vancouver,49.51672,6.5335,67.74078948,WA,Clark,45.63,-122.677
24,F,Victoria,Baker,Bakery,Victoria,60.5955091,4.465036581,158.7045089,TX,Victoria,28.799,-97.006
28,M,Trail,Baker,Bakery,Trail,35.49790596,5.174673648,34.52427221,MN,Polk,47.783,-95.698
29,M,Vancouver,Accounting Clerk,Accounting,Vancouver,40.02887,12.185467,59.88316464,WA,Clark,45.63,-122.677
32,F,Vancouver,Accounting Clerk,Accounting,Vancouver,42.8715,19.006436,38.88332344,WA,Clark,45.63,-122.677
33,M,Duncan,Baker,Bakery,Quesnel,49.94274462,5.775266268,129.8357633,OK,Stephens,34.502,-97.958
36,M,Vancouver,Accounting Clerk,Accounting,Vancouver,36.196064,18.196064,0,WA,Clark,45.63,-122.677
