EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Store Lat,Store Long,Division,Age,LengthService,AbsentHours
3,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,49,4.39,83.81
4,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,3.08,70.02
6,M,Richmond,Baker,Bakery,Richmond,37.546,-77.453,Stores,48,2.72,81.83
7,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,51,10.16,60.5
10,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,40,13.85,30.66
15,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,50,4.88,0
16,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,43,19.11,21.66
17,F,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,49,9.94,0
20,F,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,37,11.23,94.67
23,F,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,50,6.53,67.74
24,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,61,4.47,158.7
28,M,Trail,Baker,Bakery,Trail,47.783,-95.698,Stores,35,5.17,34.52
29,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,40,12.19,59.88
32,F,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,43,19.01,38.88
36,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,36,18.2,0
41,F,Abbotsford,Baker,Bakery,Abbotsford,44.944,-90.315,Stores,45,4.86,78.34
44,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,62,5.47,152.65
45,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,28,5.78,0
46,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,50,5.36,80.24
47,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,50,1,78.75
50,M,Vancouver,Accounting Clerk,Accounting,Vancouver,45.63,-122.677,FinanceAndAccounting,39,20.68,21.39
55,M,Abbotsford,Baker,Bakery,Abbotsford,44.944,-90.315,Stores,29,3.28,0
56,F,Sidney,Baker,Bakery,Victoria,28.799,-97.006,Stores,50,3.65,77.13
61,M,Ganges,Baker,Bakery,Victoria,28.799,-97.006,Stores,43,5.1,55.62
62,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,56,10.62,0
67,F,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,23,5.9,0
68,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,40,11.89,0
70,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,44,12.31,78.84
73,M,Vernon,Baker,Bakery,Vernon,41.838,-72.457,Stores,42,3.39,28.6
75,F,Fauquier,Baker,Bakery,Trail,47.783,-95.698,Stores,47,1.99,126.5
76,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,45,5.57,19.62
78,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,35,8.35,44.97
85,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,33,2.3,31.69
87,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,35,13.83,54.3
88,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,37,18.64,0
92,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,40,1.22,58.29
93,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,5.53,110.81
95,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,38,4.68,73.48
96,M,Nelson,Baker,Bakery,Nelson,34.38,-84.372,Stores,29,4.85,2.19
101,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,39,5.29,51.76
103,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,44,16.59,48.37
105,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,44,4.03,98.56
115,F,Armstrong,Baker,Bakery,Vernon,41.838,-72.457,Stores,48,3.81,96.88
116,F,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,50,3.45,118.49
119,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,33,3.62,0
120,M,Abbotsford,Baker,Bakery,Abbotsford,44.944,-90.315,Stores,33,7.1,0
125,M,Fauquier,Baker,Bakery,Trail,47.783,-95.698,Stores,46,3.39,79.11
126,M,Surrey,Baker,Bakery,Surrey,48.236,-101.133,Stores,36,5.76,29.98
128,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,43,21.12,30.99
131,F,Vallican,Baker,Bakery,Trail,47.783,-95.698,Stores,33,3.12,49.66
132,F,North Pender Island,Baker,Bakery,Victoria,28.799,-97.006,Stores,39,3.73,94.28
133,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,36,1.88,58.09
135,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,45.63,-122.677,FinanceAndAccounting,55,17.15,30.46
136,F,Ganges,Baker,Bakery,Victoria,28.799,-97.006,Stores,44,3.73,90.81
137,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,36,18.48,37.12
138,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,56,11.44,0
142,F,Midway,Baker,Bakery,Trail,47.783,-95.698,Stores,50,3.01,124.2
143,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,49,4.69,56.92
144,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,40,16.85,0
145,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,44,11.95,111.78
146,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,35,13.71,0
147,M,Westwold,Baker,Bakery,Vernon,41.838,-72.457,Stores,61,3.44,96.26
148,M,Victoria,Baker,Bakery,Victoria,28.799,-97.006,Stores,48,3.44,58.15
149,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,35,5.69,40.15
152,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,45.63,-122.677,FinanceAndAccounting,37,2.76,24.5
