EmployeeNumber,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours
1,F,Burnaby,Baker,Bakery,Burnaby,Stores,32,6.02,36.58
2,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40,5.53,30.17
3,M,Richmond,Baker,Bakery,Richmond,Stores,49,4.39,83.81
4,F,Victoria,Baker,Bakery,Victoria,Stores,45,3.08,70.02
5,M,New Westminster,Baker,Bakery,New Westminster,Stores,36,3.62,0
6,M,Richmond,Baker,Bakery,Richmond,Stores,48,2.72,81.83
7,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,51,10.16,60.5
8,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36,4.43,30.07
9,M,New Westminster,Baker,Bakery,New Westminster,Stores,58,6.94,181.63
10,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,13.85,30.66
11,M,New Westminster,Baker,Bakery,New Westminster,Stores,47,4.87,28.02
12,M,Kamloops,Baker,Bakery,Kamloops,Stores,15,3.79,0
13,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,38,3.62,0
14,F,Vananda,Baker,Bakery,Nanaimo,Stores,31,4.58,34.33
15,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,4.88,0
16,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,19.11,21.66
17,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49,9.94,0
18,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,42,2.56,55.1
19,F,New Westminster,Baker,Bakery,New Westminster,Stores,51,5.3,81.6
20,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,37,11.23,94.67
21,M,Burnaby,Baker,Bakery,Burnaby,Stores,58,3.3,108.38
22,F,New Westminster,Baker,Bakery,New Westminster,Stores,24,3.15,0
23,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,6.53,67.74
24,F,Victoria,Baker,Bakery,Victoria,Stores,61,4.47,158.7
25,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,36,4.63,0
26,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,36,3.1,48.02
27,M,Kelowna,Baker,Bakery,Kelowna,Stores,42,4.56,42.79
28,M,Trail,Baker,Bakery,Trail,Stores,35,5.17,34.52
29,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,12.19,59.88
30,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,50,4.31,100.67
31,M,Penticton,Baker,Bakery,Kelowna,Stores,38,3.49,9.52
32,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,19.01,38.88
33,M,Duncan,Baker,Bakery,Quesnel,Stores,50,5.78,129.84
34,M,Kelowna,Baker,Bakery,Kelowna,Stores,77,3.2,44.27
35,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,24,2.99,0
36,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36,18.2,0
37,F,Courtenay,Baker,Bakery,Nanaimo,Stores,52,4.64,75.26
38,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40,6.19,58.97
39,M,Kelowna,Baker,Bakery,Kelowna,Stores,52,4.29,134.67
40,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20,4.48,0
41,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,45,4.86,78.34
42,M,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67,2.18,169
43,F,Burnaby,Baker,Bakery,Burnaby,Stores,41,2.02,56.22
44,M,Surrey,Baker,Bakery,Surrey,Stores,62,5.47,152.65
45,F,Victoria,Baker,Bakery,Victoria,Stores,28,5.78,0
46,F,Surrey,Baker,Bakery,Surrey,Stores,50,5.36,80.24
47,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,1,78.75
48,M,Squamish,Baker,Bakery,Squamish,Stores,34,5.65,0
49,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,52,3.99,88.91
50,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39,20.68,21.39
51,M,Burnaby,Baker,Bakery,Burnaby,Stores,30,7.56,3.74
52,M,Penticton,Baker,Bakery,Kelowna,Stores,44,0.39,38.07
53,M,New Westminster,Baker,Bakery,New Westminster,Stores,50,5.7,116.23
54,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,35,4.72,0
55,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29,3.28,0
56,F,Sidney,Baker,Bakery,Victoria,Stores,50,3.65,77.13
57,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,25,4.8,0
58,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,43,4.12,24.79
59,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54,4.06,121.45
60,M,New Westminster,Baker,Bakery,New Westminster,Stores,44,4.2,59.78
61,M,Ganges,Baker,Bakery,Victoria,Stores,43,5.1,55.62
62,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,56,10.62,0
63,F,Prince George,Baker,Bakery,Prince George,Stores,31,0.78,0
64,M,Atlin,Baker,Bakery,Terrace,Stores,43,5.84,55.06
65,F,Kamloops,Baker,Bakery,Kamloops,Stores,36,3.68,44.63
66,M,Whistler,Baker,Bakery,Squamish,Stores,39,5.75,42.46
67,F,Surrey,Baker,Bakery,Surrey,Stores,23,5.9,0
68,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,11.89,0
69,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,47,2.02,107.8
70,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,12.31,78.84
71,M,New Westminister,Baker,Bakery,New Westminister,Stores,53,4.59,110.15
72,F,Gibsons,Baker,Bakery,West Vancouver,Stores,36,3.95,33.93
73,M,Vernon,Baker,Bakery,Vernon,Stores,42,3.39,28.6
74,F,Burnaby,Baker,Bakery,Burnaby,Stores,41,3.29,44.99
75,F,Fauquier,Baker,Bakery,Trail,Stores,47,1.99,126.5
76,F,Victoria,Baker,Bakery,Victoria,Stores,45,5.57,19.62
77,M,Kamloops,Baker,Bakery,Kamloops,Stores,38,6.1,0
78,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,8.35,44.97
79,F,Mackenzie,Baker,Bakery,Prince George,Stores,42,4.71,45.95
80,F,New Westminster,Baker,Bakery,New Westminster,Stores,44,1.78,83.32
81,F,Squamish,Baker,Bakery,Squamish,Stores,54,2.87,136.34
82,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46,4.42,53.31
83,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,48,4.25,96.61
84,F,Penticton,Baker,Bakery,Kelowna,Stores,52,2.96,140.91
85,M,Victoria,Baker,Bakery,Victoria,Stores,33,2.3,31.69
86,M,New Westminster,Baker,Bakery,New Westminster,Stores,48,4.15,12.68
87,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,13.83,54.3
88,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37,18.64,0
89,F,Duncan,Baker,Bakery,Quesnel,Stores,45,6.84,103.35
90,F,Kelowna,Baker,Bakery,Kelowna,Stores,27,3.98,0
91,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,38,3.57,49.85
92,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,1.22,58.29
93,M,Victoria,Baker,Bakery,Victoria,Stores,49,5.53,110.81
94,F,Fort Fraser,Baker,Bakery,Prince George,Stores,52,5.33,158.68
95,F,Victoria,Baker,Bakery,Victoria,Stores,38,4.68,73.48
96,M,Nelson,Baker,Bakery,Nelson,Stores,29,4.85,2.19
97,F,New Westminster,Baker,Bakery,New Westminster,Stores,51,4.95,99.81
98,F,Kamloops,Baker,Bakery,Kamloops,Stores,39,1.91,34.78
99,F,Kaslo,Baker,Bakery,Cranbrook,Stores,27,4.85,0
100,F,Burnaby,Baker,Bakery,Burnaby,Stores,47,7.41,81.74
101,F,Victoria,Baker,Bakery,Victoria,Stores,39,5.29,51.76
102,F,New Westminster,Baker,Bakery,New Westminster,Stores,49,2.99,121.01
103,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,16.59,48.37
104,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,56,2.02,137.46
105,F,Victoria,Baker,Bakery,Victoria,Stores,44,4.03,98.56
106,M,Creston,Baker,Bakery,Cranbrook,Stores,30,2.92,0
107,F,Wynndel,Baker,Bakery,Cranbrook,Stores,46,4.83,44
108,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,28,4.52,0
109,F,Burnaby,Baker,Bakery,Burnaby,Stores,37,4.93,39.1
110,F,Muncho Lake,Baker,Bakery,Fort St John,Stores,50,5.51,138.93
111,M,New Westminster,Baker,Bakery,New Westminster,Stores,47,4.74,63.03
112,M,Creston,Baker,Bakery,Cranbrook,Stores,50,5.32,98.32
113,M,Kitimat,Baker,Bakery,Terrace,Stores,39,1.73,56.3
114,F,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37,5.27,25.47
115,F,Armstrong,Baker,Bakery,Vernon,Stores,48,3.81,96.88
116,F,Victoria,Baker,Bakery,Victoria,Stores,50,3.45,118.49
117,F,New Westminster,Baker,Bakery,New Westminster,Stores,40,6.28,34.02
118,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,37,6.28,72.79
119,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33,3.62,0
120,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,33,7.1,0
121,F,Duncan,Baker,Bakery,Quesnel,Stores,59,6.55,153.26
122,M,Duncan,Baker,Bakery,Quesnel,Stores,24,5.19,0
123,M,Quesnel,Baker,Bakery,Quesnel,Stores,43,7.92,53.85
124,F,Hixon,Baker,Bakery,Prince George,Stores,53,4.99,113.96
125,M,Fauquier,Baker,Bakery,Trail,Stores,46,3.39,79.11
126,M,Surrey,Baker,Bakery,Surrey,Stores,36,5.76,29.98
127,F,Wynndel,Baker,Bakery,Cranbrook,Stores,38,1.98,68.4
128,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43,21.12,30.99
129,F,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24,3.77,0
130,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,46,6.68,40.06
131,F,Vallican,Baker,Bakery,Trail,Stores,33,3.12,49.66
132,F,North Pender Island,Baker,Bakery,Victoria,Stores,39,3.73,94.28
133,M,Victoria,Baker,Bakery,Victoria,Stores,36,1.88,58.09
134,M,Montney,Baker,Bakery,Fort St John,Stores,50,4.21,62.16
